,Title,Address,Rent(Rs),Deposit(Rs),Size(Acres),Furnishing,Property age,Available for,Immediate possession
964,"2 BHK in Rc Royal Grande, Thirumullaivoyal","Near Kendra Vidhyalaya, Thirumullaivoyal, Chennai, Tamil Nadu, In ...",10000,50000,890,Semi Furnished,3-5 years ,All,01-Apr-2019
965,"2 BHK in Goodwill Apartments, Mogappair","Goodwill Apartments, 3rd Block Road, Mogappair West, Mogappair, C ...",13000,130000,1050,Semi Furnished,Newly Constructed,Family,Ready to Move
966,"1 BHK in Harihara Apartment, Hasthinapuram",Ramachandra Iyer St Near Bharat Petroleum,7500,30000,565,UnFurnished,>10 years ,All,07-Feb-2019
967,"3 BHK in Urban Tree Oxygen, Arasankazhani, Perumbakkam","Nookampalayam Road, Off Gandhi Nagar Society Main Road, Perumbakk ...",16000,100000,1145,Semi Furnished,Newly Constructed,Family,Ready to Move
968,"2 BHK in Ananya, Iyyappanthangal","Moovendhar Nagar,noombal Icon Near Sri Chaitanya School",10000,60000,800,Semi Furnished,3-5 years ,All,Ready to Move
969,1 BHK in New Perungalathur,"Independent House, K.k. Nagar, Old Gst Rd, Peerkankaranai, Near O ...",7500,30000,300,Semi Furnished,Under Construction,Family,Ready to Move
970,2 BHK in New Perungalathur,"Undisclosed, K.k. Nagar, Old Gst Rd, Peerkankaranai, Near Om Prak ...",15000,50000,800,Semi Furnished,Under Construction,Family,Ready to Move
971,"2 BHK in NF Flats, Otteri",Santhiappan Street Near Otteri Police Station,14000,200000,700,UnFurnished,Newly Constructed,Family,Ready to Move
972,2 BHK in Madhavaram,"Standalone Building, Kilburn Nagar, Near Corporation Bank",12000,72000,775,Semi Furnished,1-3 years ,Family,Ready to Move
973,1 BHK in Pallavaram,"Standalone Building, Yasin Khan St, Near Kavitha Matriculation Sc ...",6500,25000,400,UnFurnished,>10 years ,All,Ready to Move
974,2 BHK in Madhavaram,"Independent House, Madhavaram Near Kc Toshniwal Vivekananda Vidya ...",9500,95000,650,UnFurnished,1-3 years ,Family,Ready to Move
975,"2 BHK in Rams Flats, Kodambakkam","Gopala Menon Street, Akbarabad, Near Baba Matriculation School",20000,100000,900,UnFurnished,>10 years ,Family,Ready to Move
976,2 BHK in Valasaravakkam,"Independent House, Alappakkam Main Rd, Karpaga Vinayagar Colony,n ...",10000,50000,850,UnFurnished,>10 years ,Family,Ready to Move
977,"2 BHK in Mullai apartment, Thiruvanmiyur",Valmiki Nagar Nagar Near Sai Baba Temple,18000,75000,900,Full Furnished,Newly Constructed,All,Ready to Move
978,1 BHK in Injambakkam,"Independent House, Bethel Nagar,, Near Saint John's International ...",6500,30000,500,Semi Furnished,1-3 years ,All,Ready to Move
979,2 BHK in Mugalivakkam,"Standalone Building, Madha Nagar Extn, Mugalivakkam Main Rd Opp A ...",20000,120000,1220,Semi Furnished,Newly Constructed,Family,Ready to Move
980,"3 BHK in sree sari building, Sri Iyappa Nagar","Chinmaya Nagar,nerkundrum Main Rd, Near Vinayaga Supermarket",25000,250000,1450,Semi Furnished,3-5 years ,All,Ready to Move
981,2 BHK in Korattur,"Independent House, Kr Nagar Park Near Dr Nalli Kuppuswami Vivekan ...",14000,75000,1000,Semi Furnished,1-3 years ,Family,Ready to Move
982,"1 BHK in Ram Soundarya, Palavakkam","Maniammai Street, Palavakkam, Chennai-600041, Tamil Nadu, India.",10000,50000,680,UnFurnished,5-10 years ,Family,19-Mar-2019
983,"2 BHK in Sterling Bhandari Appartment, Goparasanallur","No 101/1b, Village,poonamallee Taluk, Goparasanallur, Chennai, Ta ...",16500,100000,1040,Semi Furnished,Newly Constructed,Family,Ready to Move
984,"2 BHK in Green garden, Ambattur","Ambattur Red Hills Rd, Near Tata Communications",9000,45000,920,Semi Furnished,Newly Constructed,Family,07-Apr-2019
985,"2 BHK in Vjs Kumaran Bhaaghya, Adyar","Adyar, Chennai-600020, Tamil Nadu, India.",45000,400000,1800,Full Furnished,3-5 years ,Family,15-Mar-2019
986,"2 BHK in Priyanka Apartments, Chromepet",Kollai Pillai Street Near St.mark's Matriculation Higher Second ...,7500,50000,600,UnFurnished,3-5 years ,All,01-Mar-2019
987,"1 BHK in Kochar Homes, Ambattur","Ambattur Industrial Estate Rd Sai Nagar, Near Ambattur Industrial ...",18000,200000,800,Full Furnished,Newly Constructed,All,Ready to Move
988,"2 BHK in Janaki Aparments, Sembakkam","Hasthinapuram Near Varasidhi Vinayagar, Vembuli Amman Kovil",7500,48000,950,UnFurnished,1-3 years ,Family,Ready to Move
989,"1 RK in TNHB Flats, Taramani","Nehru St, Kanagam, Near Tharamani Police Station",5000,20000,210,UnFurnished,>10 years ,All,Ready to Move
990,1 BHK in Tambaram,"Independent House, Kulasekaran St, T Near Ration Shop",9000,50000,400,Semi Furnished,5-10 years ,Bachelors,Ready to Move
991,3 BHK in New Perungalathur,"Independent House, Muthusamy Street Near Kasturi-shanmuga Hall,",15000,90000,1000,Semi Furnished,5-10 years ,Family,Ready to Move
992,3 BHK in Pammal,"Independent House, 7th Cross Street And Nallathambi Main Road, Yy ...",75000,225000,1908,Full Furnished,Newly Constructed,Company,Ready to Move
993,"2 BHK in standalone bulding, Vyasarpadi","Rathinam Street Nagammai Nagar, Near Hyderabad Briyani",8500,51000,700,Semi Furnished,5-10 years ,Family,Ready to Move
994,"3 BHK in Not Disclosed, Chromepet","Hastinapuram ,balaji Nagar, South Street Near Sri Lakshmi Narayan ...",15000,50000,1100,Semi Furnished,5-10 years ,Family,Ready to Move
995,"2 BHK in Maha Flats, Velachery","Bhuvaneshwari Nagar, Velachery, Chennai, Tamil Nadu 600042, India ...",20000,100000,810,Semi Furnished,>10 years ,All,Ready to Move
996,3 BHK in Medavakkam,"Independent House, Green Court,near Jeyachandran Textiles",15000,45000,1500,UnFurnished,>10 years ,Family,Ready to Move
997,2 BHK in Ashok Nagar,"Standalone Building, Ashok Pillar, Indira Colony Near Kfc ,",15000,100000,900,UnFurnished,>10 years ,All,Ready to Move
998,"3 BHK in Sis Danube, Pallikaranai","Pallikaranai, Chennai - 600100, Tamil Nadu, India.",18000,108000,1500,Semi Furnished,3-5 years ,Family,Ready to Move
999,"3 BHK in Heeranandani upscale, Egatoor","Uthandi,near Imperial Towers",28000,170000,1400,Semi Furnished,1-3 years ,All,Ready to Move
